Date,States,Homocides
10/1/2014,Alaska,7
10/1/2014,Alabama,0
10/1/2014,Arkansas,14
10/1/2014,Arizona,32
10/1/2014,California,149
10/1/2014,Colorado,15
10/1/2014,Connecticut,6
10/1/2014,District of Columbia,9
10/1/2014,Delaware,2
10/1/2014,Florida,0
10/1/2014,Georgia,43
10/1/2014,Hawaii,0
10/1/2014,Iowa,2
10/1/2014,Idaho,4
10/1/2014,Illinois,33
10/1/2014,Indiana,37
10/1/2014,Kansas,7
10/1/2014,Kentucky,16
10/1/2014,Louisiana,30
10/1/2014,Massachusetts,11
10/1/2014,Maryland,26
10/1/2014,Maine,2
10/1/2014,Michigan,38
10/1/2014,Minnesota,5
10/1/2014,Missouri,46
10/1/2014,Mississippi,19
10/1/2014,Montana,2
10/1/2014,Nebraska,6
10/1/2014,North Carolina,45
10/1/2014,North Dakota,1
10/1/2014,New Hampshire,2
10/1/2014,New Jersey,30
10/1/2014,New Mexico,17
10/1/2014,Nevada,14
10/1/2014,New York,70
10/1/2014,Ohio,37
10/1/2014,Oklahoma,20
10/1/2014,Oregon,7
10/1/2014,Pennsylvania,59
10/1/2014,Rhode Island,1
10/1/2014,South Carolina,23
10/1/2014,South Dakota,0
10/1/2014,Tennessee,29
10/1/2014,Texas,99
10/1/2014,Utah,2
10/1/2014,Virginia,27
10/1/2014,Vermont,0
10/1/2014,Washington,17
10/1/2014,Wisconsin,14
10/1/2014,West Virginia,6
10/1/2014,Wyoming,1
11/1/2014,Alaska,4
11/1/2014,Alabama,0
11/1/2014,Arkansas,9
11/1/2014,Arizona,17
11/1/2014,California,143
11/1/2014,Colorado,10
11/1/2014,Connecticut,5
11/1/2014,District of Columbia,5
11/1/2014,Delaware,6
11/1/2014,Florida,0
11/1/2014,Georgia,54
11/1/2014,Hawaii,2
11/1/2014,Iowa,4
11/1/2014,Idaho,3
11/1/2014,Illinois,37
11/1/2014,Indiana,20
11/1/2014,Kansas,4
11/1/2014,Kentucky,12
11/1/2014,Louisiana,24
11/1/2014,Massachusetts,8
11/1/2014,Maryland,18
11/1/2014,Maine,2
11/1/2014,Michigan,48
11/1/2014,Minnesota,4
11/1/2014,Missouri,46
11/1/2014,Mississippi,10
11/1/2014,Montana,1
11/1/2014,Nebraska,3
11/1/2014,North Carolina,42
11/1/2014,North Dakota,2
11/1/2014,New Hampshire,3
11/1/2014,New Jersey,40
11/1/2014,New Mexico,14
11/1/2014,Nevada,18
11/1/2014,New York,47
11/1/2014,Ohio,45
11/1/2014,Oklahoma,13
11/1/2014,Oregon,12
11/1/2014,Pennsylvania,43
11/1/2014,Rhode Island,2
11/1/2014,South Carolina,36
11/1/2014,South Dakota,4
11/1/2014,Tennessee,23
11/1/2014,Texas,109
11/1/2014,Utah,3
11/1/2014,Virginia,34
11/1/2014,Vermont,2
11/1/2014,Washington,18
11/1/2014,Wisconsin,7
11/1/2014,West Virginia,5
11/1/2014,Wyoming,1
12/1/2014,Alaska,4
12/1/2014,Alabama,0
12/1/2014,Arkansas,10
12/1/2014,Arizona,22
12/1/2014,California,152
12/1/2014,Colorado,7
12/1/2014,Connecticut,9
12/1/2014,District of Columbia,13
12/1/2014,Delaware,5
12/1/2014,Florida,0
12/1/2014,Georgia,48
12/1/2014,Hawaii,3
12/1/2014,Iowa,7
12/1/2014,Idaho,2
12/1/2014,Illinois,42
12/1/2014,Indiana,28
12/1/2014,Kansas,14
12/1/2014,Kentucky,12
12/1/2014,Louisiana,44
12/1/2014,Massachusetts,10
12/1/2014,Maryland,34
12/1/2014,Maine,5
12/1/2014,Michigan,44
12/1/2014,Minnesota,8
12/1/2014,Missouri,46
12/1/2014,Mississippi,17
12/1/2014,Montana,2
12/1/2014,Nebraska,5
12/1/2014,North Carolina,45
12/1/2014,North Dakota,1
12/1/2014,New Hampshire,1
12/1/2014,New Jersey,21
12/1/2014,New Mexico,9
12/1/2014,Nevada,12
12/1/2014,New York,72
12/1/2014,Ohio,33
12/1/2014,Oklahoma,11
12/1/2014,Oregon,2
12/1/2014,Pennsylvania,60
12/1/2014,Rhode Island,5
12/1/2014,South Carolina,30
12/1/2014,South Dakota,0
12/1/2014,Tennessee,23
12/1/2014,Texas,128
12/1/2014,Utah,4
12/1/2014,Virginia,34
12/1/2014,Vermont,0
12/1/2014,Washington,12
12/1/2014,Wisconsin,11
12/1/2014,West Virginia,8
12/1/2014,Wyoming,3
1/1/2015,Alaska,6
1/1/2015,Alabama,0
1/1/2015,Arkansas,16
1/1/2015,Arizona,21
1/1/2015,California,139
1/1/2015,Colorado,10
1/1/2015,Connecticut,5
1/1/2015,District of Columbia,8
1/1/2015,Delaware,12
1/1/2015,Florida,0
1/1/2015,Georgia,47
1/1/2015,Hawaii,3
1/1/2015,Iowa,7
1/1/2015,Idaho,5
1/1/2015,Illinois,36
1/1/2015,Indiana,19
1/1/2015,Kansas,11
1/1/2015,Kentucky,22
1/1/2015,Louisiana,34
1/1/2015,Massachusetts,18
1/1/2015,Maryland,35
1/1/2015,Maine,1
1/1/2015,Michigan,45
1/1/2015,Minnesota,8
1/1/2015,Missouri,36
1/1/2015,Mississippi,12
1/1/2015,Montana,0
1/1/2015,Nebraska,8
1/1/2015,North Carolina,39
1/1/2015,North Dakota,0
1/1/2015,New Hampshire,0
1/1/2015,New Jersey,30
1/1/2015,New Mexico,7
1/1/2015,Nevada,12
1/1/2015,New York,58
1/1/2015,Ohio,38
1/1/2015,Oklahoma,21
1/1/2015,Oregon,3
1/1/2015,Pennsylvania,59
1/1/2015,Rhode Island,0
1/1/2015,South Carolina,27
1/1/2015,South Dakota,3
1/1/2015,Tennessee,31
1/1/2015,Texas,107
1/1/2015,Utah,4
1/1/2015,Virginia,33
1/1/2015,Vermont,0
1/1/2015,Washington,19
1/1/2015,Wisconsin,20
1/1/2015,West Virginia,8
1/1/2015,Wyoming,0
2/1/2015,Alaska,4
2/1/2015,Alabama,0
2/1/2015,Arkansas,18
2/1/2015,Arizona,20
2/1/2015,California,114
2/1/2015,Colorado,12
2/1/2015,Connecticut,2
2/1/2015,District of Columbia,8
2/1/2015,Delaware,5
2/1/2015,Florida,0
2/1/2015,Georgia,42
2/1/2015,Hawaii,5
2/1/2015,Iowa,3
2/1/2015,Idaho,1
2/1/2015,Illinois,18
2/1/2015,Indiana,17
2/1/2015,Kansas,2
2/1/2015,Kentucky,22
2/1/2015,Louisiana,25
2/1/2015,Massachusetts,8
2/1/2015,Maryland,19
2/1/2015,Maine,0
2/1/2015,Michigan,37
2/1/2015,Minnesota,2
2/1/2015,Missouri,38
2/1/2015,Mississippi,8
2/1/2015,Montana,5
2/1/2015,Nebraska,0
2/1/2015,North Carolina,50
2/1/2015,North Dakota,0
2/1/2015,New Hampshire,0
2/1/2015,New Jersey,15
2/1/2015,New Mexico,12
2/1/2015,Nevada,10
2/1/2015,New York,38
2/1/2015,Ohio,27
2/1/2015,Oklahoma,8
2/1/2015,Oregon,5
2/1/2015,Pennsylvania,38
2/1/2015,Rhode Island,2
2/1/2015,South Carolina,21
2/1/2015,South Dakota,2
2/1/2015,Tennessee,28
2/1/2015,Texas,86
2/1/2015,Utah,7
2/1/2015,Virginia,18
2/1/2015,Vermont,0
2/1/2015,Washington,16
2/1/2015,Wisconsin,13
2/1/2015,West Virginia,9
2/1/2015,Wyoming,1
3/1/2015,Alaska,14
3/1/2015,Alabama,1
3/1/2015,Arkansas,4
3/1/2015,Arizona,21
3/1/2015,California,142
3/1/2015,Colorado,14
3/1/2015,Connecticut,13
3/1/2015,District of Columbia,10
3/1/2015,Delaware,2
3/1/2015,Florida,0
3/1/2015,Georgia,39
3/1/2015,Hawaii,1
3/1/2015,Iowa,3
3/1/2015,Idaho,5
3/1/2015,Illinois,35
3/1/2015,Indiana,26
3/1/2015,Kansas,11
3/1/2015,Kentucky,13
3/1/2015,Louisiana,49
3/1/2015,Massachusetts,13
3/1/2015,Maryland,31
3/1/2015,Maine,2
3/1/2015,Michigan,60
3/1/2015,Minnesota,10
3/1/2015,Missouri,38
3/1/2015,Mississippi,7
3/1/2015,Montana,3
3/1/2015,Nebraska,5
3/1/2015,North Carolina,40
3/1/2015,North Dakota,3
3/1/2015,New Hampshire,3
3/1/2015,New Jersey,22
3/1/2015,New Mexico,11
