States,Date,Homicides Rate
Alaska,1/1/2014,0.41
Alaska,2/1/2014,0.54
Alaska,3/1/2014,0.68
Alaska,4/1/2014,0.27
Alaska,5/1/2014,0.68
Alaska,6/1/2014,0.14
Alaska,7/1/2014,0.14
Alaska,8/1/2014,0.41
Alaska,9/1/2014,0.27
Alaska,10/1/2014,0.95
Alaska,11/1/2014,0.54
Alaska,12/1/2014,0.54
Alaska,1/1/2015,0.81
Alaska,2/1/2015,0.54
Alaska,3/1/2015,1.9
Alaska,4/1/2015,0.41
Alaska,5/1/2015,1.49
Alaska,6/1/2015,0.14
Alaska,7/1/2015,0.41
Alaska,8/1/2015,0.41
Alaska,9/1/2015,0.41
Alaska,10/1/2015,0.41
Alaska,11/1/2015,0.68
Alaska,12/1/2015,0.95
Alaska,1/1/2016,1.08
Alaska,2/1/2016,0.54
Alaska,3/1/2016,0.13
Alaska,4/1/2016,0
Alaska,5/1/2016,0.67
Alaska,6/1/2016,0.4
Alaska,7/1/2016,1.21
Alaska,8/1/2016,0.4
Alaska,9/1/2016,0.4
Alaska,10/1/2016,0.54
Alaska,11/1/2016,0.67
Alaska,12/1/2016,0.94
Alaska,1/1/2017,0.81
Alaska,2/1/2017,0.41
Alaska,3/1/2017,0.41
Alaska,4/1/2017,0.68
Alaska,5/1/2017,0.81
Alaska,6/1/2017,0.41
Alaska,7/1/2017,1.08
Alaska,8/1/2017,0.95
Alaska,9/1/2017,0.68
Alaska,10/1/2017,0.95
Alaska,11/1/2017,0.68
Alaska,12/1/2017,0.54
Alaska,1/1/2018,0.95
Alaska,2/1/2018,0.14
Alaska,3/1/2018,0.41
Alaska,4/1/2018,0.54
Alaska,5/1/2018,0.41
Alaska,6/1/2018,0.41
Alaska,7/1/2018,0.41
Alaska,8/1/2018,0.41
Alaska,9/1/2018,0.41
Alaska,10/1/2018,0.68
Alaska,11/1/2018,0.81
Alaska,12/1/2018,0.81
Alaska,1/1/2019,0.55
Alaska,2/1/2019,0.68
Alaska,3/1/2019,0.82
Alaska,4/1/2019,0.68
Alaska,5/1/2019,0.55
Alaska,6/1/2019,0.68
Alaska,7/1/2019,0.55
Alaska,8/1/2019,0.82
Alaska,9/1/2019,0.68
Alaska,10/1/2019,0.82
Alaska,11/1/2019,1.91
Alaska,12/1/2019,0.96
Alaska,1/1/2020,0.55
Alaska,2/1/2020,0.27
Alaska,3/1/2020,0.55
Alaska,4/1/2020,0.27
Alaska,5/1/2020,0.41
Alaska,6/1/2020,0.68
Alaska,7/1/2020,0.55
Alaska,8/1/2020,0.27
Alaska,9/1/2020,0.41
Alaska,10/1/2020,0.68
Alaska,11/1/2020,1.78
Alaska,12/1/2020,0.14
Alaska,1/1/2021,0.68
Alaska,2/1/2021,0.14
Alaska,3/1/2021,0.14
Alaska,4/1/2021,0.41
Alaska,5/1/2021,0.68
Alaska,6/1/2021,0.14
Alaska,7/1/2021,0
Alaska,8/1/2021,0
Alaska,9/1/2021,0
Alaska,10/1/2021,0.41
Alaska,11/1/2021,0.27
Alaska,12/1/2021,0.27
Alaska,1/1/2022,0.55
Alaska,2/1/2022,0.82
Alaska,3/1/2022,0.95
Alaska,4/1/2022,1.23
Alaska,5/1/2022,0.27
Alaska,6/1/2022,1.09
Alaska,7/1/2022,0.82
Alaska,8/1/2022,0.95
Alaska,9/1/2022,1.23
Alaska,10/1/2022,0
Alaska,11/1/2022,1.09
Alaska,12/1/2022,0.55
Alaska,1/1/2023,0.55
Alaska,2/1/2023,0.41
Alaska,3/1/2023,1.36
Alaska,4/1/2023,0.82
Alaska,5/1/2023,0.68
Alaska,6/1/2023,0.82
Alaska,7/1/2023,1.09
Alaska,8/1/2023,0.95
Alaska,9/1/2023,0
Alaska,10/1/2023,0.55
Alaska,11/1/2023,0.82
Alaska,12/1/2023,0.41
Alabama,1/1/2014,0
Alabama,2/1/2014,0
Alabama,3/1/2014,0
Alabama,4/1/2014,0
Alabama,5/1/2014,0
Alabama,6/1/2014,0.02
Alabama,7/1/2014,0
Alabama,8/1/2014,0
Alabama,9/1/2014,0
Alabama,10/1/2014,0
Alabama,11/1/2014,0
Alabama,12/1/2014,0
Alabama,1/1/2015,0
Alabama,2/1/2015,0
Alabama,3/1/2015,0.02
Alabama,4/1/2015,0
Alabama,5/1/2015,0
Alabama,6/1/2015,0
Alabama,7/1/2015,0
Alabama,8/1/2015,0
Alabama,9/1/2015,0.02
Alabama,10/1/2015,0
Alabama,11/1/2015,0.02
Alabama,12/1/2015,0
Alabama,1/1/2016,0.02
Alabama,2/1/2016,0
Alabama,3/1/2016,0.02
Alabama,4/1/2016,0
Alabama,5/1/2016,0
Alabama,6/1/2016,0
Alabama,7/1/2016,0
Alabama,8/1/2016,0.02
Alabama,9/1/2016,0
Alabama,10/1/2016,0
Alabama,11/1/2016,0
Alabama,12/1/2016,0
Alabama,1/1/2017,0.04
Alabama,2/1/2017,0
Alabama,3/1/2017,0
Alabama,4/1/2017,0
Alabama,5/1/2017,0.02
Alabama,6/1/2017,0.02
Alabama,7/1/2017,0.02
Alabama,8/1/2017,0
Alabama,9/1/2017,0
Alabama,10/1/2017,0
Alabama,11/1/2017,0.02
Alabama,12/1/2017,0.04
Alabama,1/1/2018,0
Alabama,2/1/2018,0.02
Alabama,3/1/2018,0.02
Alabama,4/1/2018,0
Alabama,5/1/2018,0.02
Alabama,6/1/2018,0
Alabama,7/1/2018,0.02
Alabama,8/1/2018,0
Alabama,9/1/2018,0
Alabama,10/1/2018,0.02
Alabama,11/1/2018,0
Alabama,12/1/2018,0
Alabama,1/1/2019,0.04
Alabama,2/1/2019,0.08
Alabama,3/1/2019,0
Alabama,4/1/2019,0.04
Alabama,5/1/2019,0
Alabama,6/1/2019,0.06
Alabama,7/1/2019,0.02
Alabama,8/1/2019,0.02
Alabama,9/1/2019,0.04
Alabama,10/1/2019,0.08
Alabama,11/1/2019,0.02
Alabama,12/1/2019,0.02
Alabama,1/1/2020,0.06
Alabama,2/1/2020,0.08
Alabama,3/1/2020,0.14
Alabama,4/1/2020,0.14
Alabama,5/1/2020,0.16
Alabama,6/1/2020,0.04
Alabama,7/1/2020,0.08
Alabama,8/1/2020,0.08
Alabama,9/1/2020,0.2
Alabama,10/1/2020,0.08
Alabama,11/1/2020,0.06
Alabama,12/1/2020,0.08
Alabama,1/1/2021,0.6
Alabama,2/1/2021,0.44
Alabama,3/1/2021,0.6
Alabama,4/1/2021,0.63
Alabama,5/1/2021,0.67
Alabama,6/1/2021,0.54
Alabama,7/1/2021,0.91
Alabama,8/1/2021,0.67
Alabama,9/1/2021,0.63
Alabama,10/1/2021,0.69
Alabama,11/1/2021,0.87
Alabama,12/1/2021,0.85
Alabama,1/1/2022,0.81
Alabama,2/1/2022,0.77
Alabama,3/1/2022,0.85
Alabama,4/1/2022,0.75
Alabama,5/1/2022,0.71
Alabama,6/1/2022,0.89
Alabama,7/1/2022,1.08
Alabama,8/1/2022,0.73
Alabama,9/1/2022,1.02
Alabama,10/1/2022,0.77
Alabama,11/1/2022,0.77
Alabama,12/1/2022,0.81
Alabama,1/1/2023,0.8
Alabama,2/1/2023,0.78
Alabama,3/1/2023,0.88
Alabama,4/1/2023,0.69
Alabama,5/1/2023,0.72
Alabama,6/1/2023,0.76
Alabama,7/1/2023,0.65
Alabama,8/1/2023,0.63
Alabama,9/1/2023,0.76
Alabama,10/1/2023,0.88
Alabama,11/1/2023,0.69
Alabama,12/1/2023,0.76
Arkansas,1/1/2014,0.4
Arkansas,2/1/2014,0.3
Arkansas,3/1/2014,0.24
Arkansas,4/1/2014,0.54
Arkansas,5/1/2014,1.11
Arkansas,6/1/2014,0.47
Arkansas,7/1/2014,0.57
Arkansas,8/1/2014,0.34
Arkansas,9/1/2014,0.51
Arkansas,10/1/2014,0.47
Arkansas,11/1/2014,0.3
Arkansas,12/1/2014,0.34
Arkansas,1/1/2015,0.54
Arkansas,2/1/2015,0.6
Arkansas,3/1/2015,0.13
Arkansas,4/1/2015,0.4
Arkansas,5/1/2015,0.64
Arkansas,6/1/2015,0.57
Arkansas,7/1/2015,0.84
Arkansas,8/1/2015,0.47
Arkansas,9/1/2015,0.47
Arkansas,10/1/2015,0.44
Arkansas,11/1/2015,0.54
Arkansas,12/1/2015,0.34
Arkansas,1/1/2016,0.74
Arkansas,2/1/2016,0.44
Arkansas,3/1/2016,0.33
Arkansas,4/1/2016,0.33
Arkansas,5/1/2016,0.54
Arkansas,6/1/2016,0.8
Arkansas,7/1/2016,0.74
Arkansas,8/1/2016,0.47
Arkansas,9/1/2016,0.57
Arkansas,10/1/2016,0.74
Arkansas,11/1/2016,0.74
Arkansas,12/1/2016,0.6
Arkansas,1/1/2017,0.93
Arkansas,2/1/2017,0.5
Arkansas,3/1/2017,0.77
Arkansas,4/1/2017,0.83
Arkansas,5/1/2017,1.13
Arkansas,6/1/2017,0.47
Arkansas,7/1/2017,0.93
Arkansas,8/1/2017,0.83
Arkansas,9/1/2017,0.3
Arkansas,10/1/2017,0.5
Arkansas,11/1/2017,0.53
Arkansas,12/1/2017,0.63
Arkansas,1/1/2018,0.7
Arkansas,2/1/2018,0.46
Arkansas,3/1/2018,0.73
Arkansas,4/1/2018,0.56
Arkansas,5/1/2018,0.53
Arkansas,6/1/2018,0.7
Arkansas,7/1/2018,0.6
Arkansas,8/1/2018,0.5
Arkansas,9/1/2018,0.76
Arkansas,10/1/2018,0.63
Arkansas,11/1/2018,0.9
Arkansas,12/1/2018,0.53
Arkansas,1/1/2019,0.76
Arkansas,2/1/2019,0.43
Arkansas,3/1/2019,0.66
Arkansas,4/1/2019,0.63
Arkansas,5/1/2019,0.46
Arkansas,6/1/2019,0.83
Arkansas,7/1/2019,0.66
Arkansas,8/1/2019,0.86
Arkansas,9/1/2019,0.7
Arkansas,10/1/2019,0.66
Arkansas,11/1/2019,0.73
Arkansas,12/1/2019,0.4
Arkansas,1/1/2020,0.76
Arkansas,2/1/2020,0.63
Arkansas,3/1/2020,0.96
Arkansas,4/1/2020,0.79
Arkansas,5/1/2020,0.69
Arkansas,6/1/2020,1.29
Arkansas,7/1/2020,0.82
Arkansas,8/1/2020,1.09
Arkansas,9/1/2020,0.73
Arkansas,10/1/2020,0.99
Arkansas,11/1/2020,0.66
Arkansas,12/1/2020,1.02
Arkansas,1/1/2021,0.76
Arkansas,2/1/2021,0.69
Arkansas,3/1/2021,0.79
Arkansas,4/1/2021,0.99
Arkansas,5/1/2021,1.19
Arkansas,6/1/2021,0.93
Arkansas,7/1/2021,1.12
Arkansas,8/1/2021,0.86
Arkansas,9/1/2021,0.66
Arkansas,10/1/2021,0.99
Arkansas,11/1/2021,0.99
Arkansas,12/1/2021,0.79
Arkansas,1/1/2022,0.66
Arkansas,2/1/2022,0.69
Arkansas,3/1/2022,0.89
Arkansas,4/1/2022,1.15
Arkansas,5/1/2022,1.15
Arkansas,6/1/2022,0.76
Arkansas,7/1/2022,0.95
Arkansas,8/1/2022,0.89
Arkansas,9/1/2022,0.66
Arkansas,10/1/2022,0.79
Arkansas,11/1/2022,0.82
Arkansas,12/1/2022,0.79
Arkansas,1/1/2023,1.14
Arkansas,2/1/2023,0.81
Arkansas,3/1/2023,0.75
Arkansas,4/1/2023,0.75
Arkansas,5/1/2023,1.14
Arkansas,6/1/2023,0.49
Arkansas,7/1/2023,1.24
Arkansas,8/1/2023,0.62
Arkansas,9/1/2023,0.46
Arkansas,10/1/2023,0.49
Arkansas,11/1/2023,0.55
Arkansas,12/1/2023,0.81
Arizona,1/1/2014,0.24
Arizona,2/1/2014,0.27
Arizona,3/1/2014,0.25
Arizona,4/1/2014,0.39
Arizona,5/1/2014,0.27
Arizona,6/1/2014,0.48
Arizona,7/1/2014,0.36
Arizona,8/1/2014,0.25
Arizona,9/1/2014,0.33
Arizona,10/1/2014,0.48
Arizona,11/1/2014,0.25
Arizona,12/1/2014,0.33
Arizona,1/1/2015,0.31
Arizona,2/1/2015,0.29
Arizona,3/1/2015,0.31
Arizona,4/1/2015,0.42
Arizona,5/1/2015,0.45
Arizona,6/1/2015,0.19
Arizona,7/1/2015,0.4
Arizona,8/1/2015,0.42
Arizona,9/1/2015,0.31
Arizona,10/1/2015,0.37
Arizona,11/1/2015,0.32
Arizona,12/1/2015,0.31
Arizona,1/1/2016,0.43
Arizona,2/1/2016,0.36
